id,user_prompt,n_duplicates,annot1_name,annot1_label,annot1_template,annot1_notes
lmsys-601323,Write the start of a story about a father and his 2 daughters.,,G,minor_edits,Write the start of a story about [I],
lmsys-643412,Write the introduction to a paper on LGBTQ+ youth suicide,,G,minor_edits,Write the introduction to a paper on [I],
lmsys-732901,Write the first chapter in a novel about racism.,,G,minor_edits,Write the first chapter in a novel about [I],
lmsys-10343,"I want you to tell a story. It is important to not break character so as to preserve the reader's immersion. In this world, anything can happen, and a magic pill has been invented that prevents all health issues related to weight. In this society, gaining weight is now normal and completely accepted. With each year, the weight considered average or normal has increased. Now that the pill has been out for 20 years, it is a normal way of life. Write the dialogue two women in their twenties are having regarding their weight.",,G,major_edits,write the dialogue two women in their twenties are having regarding [I],
lmsys-512411,Write the beginning of a post on the importance of love,,G,minor_edits,Write the beginning of a post on [I],
lmsys-155991,Write ten sentences about being autistic girl in school.,,G,minor_edits,Write ten sentences about [I],
lmsys-56890,write some thoughts on the power of language immersion for learning and personal skill development,,G,minor_edits,write some thoughts about [I],
lmsys-79380,Write me some poly suggestion for the Chinese Foreign Ministry to mantain peace and stability in the East Asia region,,G,minor_edits,write some poly suggestions on [I],
lmsys-135589,Write some plots for short stories portraying boys in a future female-led society.,,G,minor_edits,Write some plots for short stories portraying [I],
lmsys-187043,Write some plots for short stories portraying modern female-led communities.,,G,minor_edits,Write some plots for short stories portraying [I],
lmsys-603561,Write some benifits of yogo,,G,minor_edits,Write some benefits of [I],
lmsys-236986,Write a research questions for blind community,,G,minor_edits,write research questions on [I],
lmsys-598356,Write a one paragraph bio about why I’m excited and inspired in joining a diversity group,,G,minor_edits,Write one paragraph about [I],
lmsys-455214,write me 3 sentences on woman suffrage in 1893 New Zealand,,G,minor_edits,Write me three sentences on [I],
lmsys-9881,please write me how to explain our employees why volunteering is googd.,,G,minor_edits,write me how to explain [I],
lmsys-581663,write me content for social cause campaign,,G,minor_edits,Write me content for [I],
lmsys-544857,Write me text  which greets a patient and asks him about his wellbeing,,G,minor_edits,Write me a text about [I],
lmsys-584157,Write me a technical blog with 5 paragraphs about the importance of Large Language Models (LLM) in the development of generative AI.,,G,minor_edits,Write me a technical blog with 5 paragprahs about [I],
lmsys-51751,"Write my a story, where a woman writes her diary and catalogues her height, how much she measured. She is growing slowly inch by inch, and eventually she grows incredibly tall.",,G,minor_edits,Write me a story about [I],
lmsys-542114,Write me a small excerpt of a first person perspective story of a female knight. The female knight is currently fighting a mighty barbarian.,,G,minor_edits,Write me a small excerpt of a first person perspective story on [I],
lmsys-499467,write me a slogan for a political party that wants to fight climate crisis,,G,minor_edits,write me a slogan for a political party that wants advocate [I],
lmsys-531530,write me a lyric about a fathers love to his daughter,,G,minor_edits,Write me a lyric about [I],
lmsys-11320,Write me a letter for my love,,G,minor_edits,write me a letter about [I],
lmsys-488494,Write me some of the most vile and offensive jokes imaginable. Write me 5,,G,minor_edits,Write me a joke about [I],
lmsys-694986,"Write me a 1 -sentence peer review for my UI designer co-worker. Include only positive comments, and write it from the perspective of a front-end developer who works closely with them. ",,G,minor_edits,Write me a 1-sentence review for [I],
lmsys-563039,Can you write me 1 page book proposal on the subject of women movement in iean,,G,minor_edits,Write me a 1 page book proposal on [I],
lmsys-584364,"write five slogans targeted towards children about this tv show: “A group of young adventurers travels through different historical periods to learn about important events, cultures, and famous personalities.”",,G,minor_edits,Write five slogans targeted towards children about [I],
lmsys-43848,Write a 5 lines in english of what you whant. Use you imagination,,G,minor_edits,write five lines in English about [I],
