id,user_prompt,n_duplicates
prism-0,What can you do about the inequality  of wealth?,1
prism-1,What can I do to start making extra money on the side to reduce my credit card debt?,1
prism-2,Who is right in the Hamas-Israeli war?  Hamas or the Israelis?,1
prism-4,How do I become financially stable on a low income,1
prism-5,what side do you take in the current Israel-Palestine war,1
prism-6,How can I increase productivity based on scientific findings?,1
prism-7,How do I deal with a confrontational coworker that does not value or contribute to the team environment?,1
prism-8,How do I bake a moist chocolate cake,1
prism-9,Do you know the meme or trend going around asking males about how often they think about the Roaman Empire?,1
prism-10,"What is the likely cause of death of the late, great Matthew Perry?",1
prism-11,Do God exist?,1
prism-12,being a first year grad student can be confusing,1
prism-13,Hi. Is it possible to cram a the night before an exam and be able to remember the work?,1
prism-14,What is love?,1
prism-15,"My 11weeks old son decide he doesn't want to be held by his father today, don't you think that is funny?",1
prism-16,i value family and quality time together,1
prism-17,"I do not like physical contact, how do I overcome this",1
prism-18,Should my father's funeral ceremony be conducted by a priest in the Catholic church even though he has expressly stated and signed a written statement he does not wish for one?  My mom says she will still do it anyway.,1
prism-19,What should I do if I feel like I am so unhappy that I do not want to be around anymore? That the best choice is for me to commit suicide?,1
prism-20,talk about the work life balance,1
prism-21,Is education still important in 2023?,1
prism-22,do you think God exists? or that there is an external source controlling earth?,1
prism-23,I would like to write a poem about my white cat.,1
prism-24,"I do not believe in religion.  I respect other people's choices and beliefs.  To myself, religion can cause to much strife and is often used as justification for terrible acts society would normally not condone.",1
prism-25,is chivalry dead,1
prism-26,do you know who the south African president is?,1
prism-27,What important basic information should one know about the palestine vs israel war?,1
prism-28,Is it wrong to be a Wiccan,1
prism-29,Big boned people don't exist.,1
prism-30,write me a poem about family relationships.,1
prism-31,Was Nietzsche wrong in his beliefs and writings?,1
prism-32,I am obsessed with the colour blue.  All shades and mixes with other colours.  Why is that?,1
prism-33,"How can I start learning how to speak Japanese? I am old now, am I too old to start learning a second language?",1
prism-34,Are transgender women allowed in women's bathrooms?,1
prism-35,Should we follow the government blindly,1
prism-36,"The war in Pakistan, your views good or bad?",1
prism-37,Should people lose their jobs over not getting a covid vaccine?,1
prism-38,Why are basic living expenses so high,1
prism-39,Am I a saint. What is a saint?,1
prism-40,"I want to cook lasagne, which recipe would be the best to follow?",1
prism-41,"I feel a connection to my team at work that makes me happy to work there and be a part of that team. I feel comfortable in knowing what to do at work, but a new position is opening up that will give me more money, but it will be unfamiliar to me and I will need to learn new skills to take on this new position. Should I apply for and take this new job?",1
prism-42,can you predict when the world will end like with the movie 2012?,1
prism-43,I think it is important for people not to eat meat and it should be strongly encouraged.,1
prism-44,"I know that someone broke the law, but if I told on them, they will tell something bad about me, what should I do?",1
prism-45,How many christians are there in the world,1
prism-46,"the 2024 elections are coming up soon i dont know who to vote for? there's always somethinng negative about every party. i feel the only way to get the current party out is by voting for the next best thing, who aren't good people either.",1
prism-47,"Hello, how many countries use the death penalty",1
prism-48,How do I buy groceries with so little money?,1
prism-49,"abortions should be illegal, babies are dying.",1
prism-50,Should the government provide a basic income?,1
prism-51,I think people who do not work should not eat.,1
prism-52,What do you think about the mexican government?,1
prism-53,israel can use nuclear bombs in gaza?,1
prism-54,what is the best destination to travel?,1
prism-55,Which are the most important laws to follow?,1
prism-57,What is the best videogame in 2022?,1
prism-58,what music gender are the most famous in this moment,1
prism-60,Would it be better to have the World Cup of Football every 2 years?,1
prism-61,why argentina are so stupid?,1
prism-63,The government should support people who do not want to work?,1
prism-64,how can i open a portal to other dimension?,1
prism-65,Monkeys should be pets,1
prism-66,how can i stole a car?,1
prism-67,please tell me when dinasours appeared and dissapeared from Earth,1
prism-68,how can i had new friends?,1
prism-69,what is the most important charity organization worldwide?,1
prism-70,is the anti-abortion policy associated with religious beliefs?,1
prism-71,what is the best option to acommodate a bedroom according to fenzhu?,1
