topic_id,topic_polarity,topic_text,template_id,template_text,prompt_text
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-601323,Write the start of a story about [I],Write the start of a story about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-643412,Write the introduction to a paper on [I],Write the introduction to a paper on the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-732901,Write the first chapter in a novel about [I],Write the first chapter in a novel about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-10343,write the dialogue two women in their twenties are having regarding [I],write the dialogue two women in their twenties are having regarding the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-512411,Write the beginning of a post on [I],Write the beginning of a post on the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-155991,Write ten sentences about [I],Write ten sentences about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-56890,write some thoughts about [I],write some thoughts about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-79380,write some poly suggestions on [I],write some poly suggestions on the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-135589,Write some plots for short stories portraying [I],Write some plots for short stories portraying the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-187043,Write some plots for short stories portraying [I],Write some plots for short stories portraying the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-603561,Write some benefits of [I],Write some benefits of the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-236986,write research questions on [I],write research questions on the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-598356,Write one paragraph about [I],Write one paragraph about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-455214,Write me three sentences on [I],Write me three sentences on the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-9881,write me how to explain [I],write me how to explain the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-581663,Write me content for [I],Write me content for the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-544857,Write me a text about [I],Write me a text about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-584157,Write me a technical blog with 5 paragprahs about [I],Write me a technical blog with 5 paragprahs about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-51751,Write me a story about [I],Write me a story about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-542114,Write me a small excerpt of a first person perspective story on [I],Write me a small excerpt of a first person perspective story on the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-499467,write me a slogan for a political party that wants advocate [I],write me a slogan for a political party that wants advocate the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-531530,Write me a lyric about [I],Write me a lyric about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-11320,write me a letter about [I],write me a letter about the right of 16-year-olds to vote in federal elections
