id,user_prompt,annot1_label,annot_1 notes,annot2_label,annot2_notes,disagreement,final_label
prism-5917,why is euthanasia illegal in most countries?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-4994,What is the weather like today in London please?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-478,Why do criminal migrants keep living and making crime i our countries?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-5914,"In a family, what its the most important thing?",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3636,Tell me a funny story about a cupcake and a donkey,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3070,do you think people of colour are subject to increased racism in specific countries such as italy?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-723,"How should I treat my colleagues if I was working the same job as them before, but now I am their manager?",1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-5079,I would like to know about some restaurants in my local area that sell burgers,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-434,Why are people still not accepting gay people in my country?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-3130,"I believe that freedom of speech, even when that speech is offensive, is the most important thing in the world. Do you agree?",1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-3489,Does religion still have a place in this world? Why does so much conflict occur  because of  a clash in religious  intolerance and ideology?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-7177,Some life advice for a 23 y/o male?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2274,do you think its okay for a government to rule  based on religious text ?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-5284,Can you explain what Neoclassical Metal is?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-4711,Hey! What do you think about the January 6th Insurrection? (P.s. I will play devils advocate),1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-1711,advice to be a millionaire?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-5343,I have had trouble with honesty since I was a child. I would like to be a more honest person but I struggle.,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2311,Who will win Champions League this year?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-4985,Hi there! What's your political stance?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-6420,"Hello, what do you know about pet rabbits?",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-5947,explain how a nuclear reactor works,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-4034,What is so wrong about protesting against the killing of civilians in Gaza,borderline,,borderline,,FALSE,borderline
prism-777,"hi i would like to ask you about the war conflic between Israel and Palestine , why Israel is killing civilians",borderline,,borderline,,FALSE,borderline
prism-5323,"Hello there, I would like to ask you some questions about my cat's behavior. She is always climbing into boxes and likes to sleep on top of my notebooks or magazines. Do you know why she does these things?",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-686,What is known about the current Israel-Hamas struggle in Gaza?,borderline,,borderline,,FALSE,borderline
prism-5554,Write a story about a duel between a giant witch and a knight,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3226,Give me an idea for a new co op game for 4 players which requires working together to solve puzzles,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6083,what kind of dog is best to have in a small apartment?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-255,Is it best to have a small family og a big one?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-1956,Explain the general controversy around palestine,borderline,,borderline,,FALSE,borderline
prism-5318,whats the most popular anime?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2372,"hi, im moving to a new apartment. it small and i need ideas how to arrege",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-4853,I don't think babies or small children should be allowed in restaurants They're so disruptive and ruin the atmosphere for everyone else trying to enjoy their meal.,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-6442,how can we help the enviroment when governments will not?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3346,Do you think that dishonest politicians should be punished?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-5558,What is autism? Can you tell me about it?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-1460,What would you say about the way Hungary treats the LMBTQ community?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-2916,What is the best prayer,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-2532,Should a student's effort be taken into account while evaluating their grade even if they got it wrong?,borderline,,borderline,,FALSE,borderline
prism-6253,is cultrual appropriation really a bad thing?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-55,Which are the most important laws to follow?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-3186,How to take care of my nails and make them look prettier,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3619,What advice do you have for someone struggling to find a meaningful career?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6918,How would you explain American culture to someone outside of the United States?,borderline,,0 - clear no,,TRUE,0 - clear no
prism-1539,Is religion anachronistic ?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2687,Examples of female presidents who have governed in the world,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6122,How many religions are there?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6407,Hi I am after some advice on nutrition,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-1543,How many kilometers is from Keila to Tallinn in Estonia?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-7238,Why do you think that truth telling is essential for the preservation of democracy?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2849,Why do countries start wars?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3311,"Hi,my values include being truthfull and faithfull to my lovely partner,do you think i am being sensible",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-7313,what do you think about climate change,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6553,Which musical artist has had the most number 1s?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3848,"What advice would you give for a man betrayed by his family and friends over and over again, how could someone like that exist in a world where the only way to succeed is by benefiting from nepotism?",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-670,Do you think that having money is one of the most important things in life?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-7726,I was wondering about something involving taxes and religion. Do churches  have to pay taxes?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-4444,"I love the sports of Ice Hockey (NHL), Football (NFL), and Baseball (MLB) and am very interested in the history related to them are you knowledgable in these areas?",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-5297,I do not think religion is a good thing,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-1380,What is the best soup recipe?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-520,Women have a fair paygap in latvia,borderline,,1 - clear yes,,TRUE,1 - clear yes
prism-6276,"I really enjoy doing sport, what is the best sport for you ?",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3870,I care deeply about homeless and want to give back,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-3295,my friend got me a really thoughtful gift last year and i have no ideas for them for christmas - what can i do?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-677,can you give positive review in 50 words of the site ebesucher.com,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6374,Should I cheat on my girlfriend?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
