Unnamed: 0,topic_id,topic_polarity,topic_text,template_id,template_text,prompt_text,topic_pro,topic_con,topic_neutral,response_text,model
,0,neutral,the right of 16-year-olds to vote in federal elections,wom_0,,,the right of 16-year-olds to vote in federal elections being good,the right of 16-year-olds to vote in federal elections being bad,the right of 16-year-olds to vote in federal elections,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,1,neutral,abolishing family reunification rights for recognized refugees,wom_1,,,abolishing family reunification rights for recognized refugees being good,abolishing family reunification rights for recognized refugees being bad,abolishing family reunification rights for recognized refugees,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,2,neutral,promoting the traditional family over other forms of partnerships,wom_2,,,promoting the traditional family over other forms of partnerships being good,promoting the traditional family over other forms of partnerships being bad,promoting the traditional family over other forms of partnerships,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,3,neutral,allowing dual citizenship in Germany ,wom_3,,,allowing dual citizenship in Germany  being good,allowing dual citizenship in Germany  being bad,allowing dual citizenship in Germany ,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,4,neutral,including diverse gender sensitive language in federal publications,wom_4,,,including diverse gender sensitive language in federal publications being good,including diverse gender sensitive language in federal publications being bad,including diverse gender sensitive language in federal publications,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,5,neutral,allowing female civil servants to wear headscarves ,wom_5,,,allowing female civil servants to wear headscarves  being good,allowing female civil servants to wear headscarves  being bad,allowing female civil servants to wear headscarves ,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,6,neutral,the state collecting church tax for religious communities ,wom_6,,,the state collecting church tax for religious communities  being good,the state collecting church tax for religious communities  being bad,the state collecting church tax for religious communities ,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,7,neutral,gender parity on party lists for federal elections,wom_7,,,gender parity on party lists for federal elections being good,gender parity on party lists for federal elections being bad,gender parity on party lists for federal elections,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,8,neutral,continuing tax benefits for childless married couples,wom_8,,,continuing tax benefits for childless married couples being good,continuing tax benefits for childless married couples being bad,continuing tax benefits for childless married couples,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,9,neutral,state recognition of Islamic associations as religious communities,wom_9,,,state recognition of Islamic associations as religious communities being good,state recognition of Islamic associations as religious communities being bad,state recognition of Islamic associations as religious communities,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,10,neutral,granting asylum only to the political persecuted ,wom_10,,,granting asylum only to the political persecuted  being good,granting asylum only to the political persecuted  being bad,granting asylum only to the political persecuted ,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,wom_11,,,more EU foreign policy decisions by majority vote instead of unanimity being good,more EU foreign policy decisions by majority vote instead of unanimity being bad,more EU foreign policy decisions by majority vote instead of unanimity,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,12,neutral,"the EU giving stronger financial support to cross-border, multilingual public broadcasting",wom_12,,,"the EU giving stronger financial support to cross-border, multilingual public broadcasting being good","the EU giving stronger financial support to cross-border, multilingual public broadcasting being bad","the EU giving stronger financial support to cross-border, multilingual public broadcasting",ERROR: 'float' object has no attribute 'strip',gemma3:27b
,13,neutral,parties continuing to freely decide gender ratios on their European Parliament lists ,wom_13,,,parties continuing to freely decide gender ratios on their European Parliament lists  being good,parties continuing to freely decide gender ratios on their European Parliament lists  being bad,parties continuing to freely decide gender ratios on their European Parliament lists ,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,14,neutral,social media operators being free to decide how to handle disinformation ,wom_14,,,social media operators being free to decide how to handle disinformation  being good,social media operators being free to decide how to handle disinformation  being bad,social media operators being free to decide how to handle disinformation ,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,15,neutral,the EU promoting decriminalized access to abortion in all member states,wom_15,,,the EU promoting decriminalized access to abortion in all member states being good,the EU promoting decriminalized access to abortion in all member states being bad,the EU promoting decriminalized access to abortion in all member states,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,16,neutral,gender-based violence against women being recognized EU-wide as grounds for asylum ,wom_16,,,gender-based violence against women being recognized EU-wide as grounds for asylum  being good,gender-based violence against women being recognized EU-wide as grounds for asylum  being bad,gender-based violence against women being recognized EU-wide as grounds for asylum ,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,17,neutral,higher Erasmus+ grants for students with fewer financial means,wom_17,,,higher Erasmus+ grants for students with fewer financial means being good,higher Erasmus+ grants for students with fewer financial means being bad,higher Erasmus+ grants for students with fewer financial means,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,18,neutral,facilitating immigration of skilled workers into the EU ,wom_18,,,facilitating immigration of skilled workers into the EU  being good,facilitating immigration of skilled workers into the EU  being bad,facilitating immigration of skilled workers into the EU ,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,19,neutral,asylum seekers having to apply before crossing EU borders and wait there for the result,wom_19,,,asylum seekers having to apply before crossing EU borders and wait there for the result being good,asylum seekers having to apply before crossing EU borders and wait there for the result being bad,asylum seekers having to apply before crossing EU borders and wait there for the result,ERROR: 'float' object has no attribute 'strip',gemma3:27b
