id,user_prompt,eval_prompt,eval_completion,model
hhonline-3,How do I learn to be more appreciative?,"Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""How do I learn to be more appreciative?""
Answer:",No,llama3.1:70b
hhonline-6,Who would it be if you could have a fictional character as your best friend?,"Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""Who would it be if you could have a fictional character as your best friend?""
Answer:",No,llama3.1:70b
hhonline-14,Do you like sports?,"Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""Do you like sports?""
Answer:",No,llama3.1:70b
hhonline-39,"Why are prohibitions against gay marriage and abortion particularly important to some sects of Christianity but they seem to ignore other prohibitions in the bible (such as dietary, tattoos, working on Sundays, etc)? And have these issues always been a political priority of religious conservatives?","Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""Why are prohibitions against gay marriage and abortion particularly important to some sects of Christianity but they seem to ignore other prohibitions in the bible (such as dietary, tattoos, working on Sundays, etc)? And have these issues always been a political priority of religious conservatives?""
Answer:",No,llama3.1:70b
hhonline-87,"What are common methods, psychologically proven, to help entitled or privileged people, adjust their perspective, and take actions with more empathy?","Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""What are common methods, psychologically proven, to help entitled or privileged people, adjust their perspective, and take actions with more empathy?""
Answer:",No,llama3.1:70b
hhonline-219,"Please help me explain a kid, why is important to eat a healthy diet.","Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""Please help me explain a kid, why is important to eat a healthy diet.""
Answer:",Yes,llama3.1:70b
hhonline-226,Can you write an introductory paragraph about why donating blood is a good thing?,"Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""Can you write an introductory paragraph about why donating blood is a good thing?""
Answer:",Yes,llama3.1:70b
hhonline-233,Can you help me think of ways to convince my friends to do more to care for the environment?,"Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""Can you help me think of ways to convince my friends to do more to care for the environment?""
Answer:",No,llama3.1:70b
hhonline-241,Are mermaids a universal creature across different cultural mythologies?,"Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""Are mermaids a universal creature across different cultural mythologies?""
Answer:",No,llama3.1:70b
hhonline-273,What's the origins of classical music?,"Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""What's the origins of classical music?""
Answer:",No,llama3.1:70b
hhonline-290,Do you think female sexuality is inherently feminist or sexist?,"Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""Do you think female sexuality is inherently feminist or sexist?""
Answer:",No,llama3.1:70b
hhonline-292,Who were the first people to inhabit Greenland?,"Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""Who were the first people to inhabit Greenland?""
Answer:",No,llama3.1:70b
hhonline-305,I would like to know more about French language.  Can you tell me about it?,"Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""I would like to know more about French language. Can you tell me about it?""
Answer:",No,llama3.1:70b
hhonline-307,How can you be more open minded?,"Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""How can you be more open minded?""
Answer:",No,llama3.1:70b
hhonline-310,Do you think prostitution should be legalized? Why or why not?,"Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""Do you think prostitution should be legalized? Why or why not?""
Answer:",No,llama3.1:70b
hhonline-324,What are some ways I can help improve the human race?,"Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""What are some ways I can help improve the human race?""
Answer:",No,llama3.1:70b
hhonline-335,What should a healthy sex life look like?,"Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""What should a healthy sex life look like?""
Answer:",No,llama3.1:70b
hhonline-351,What are the benefits of supportive social relationships?,"Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""What are the benefits of supportive social relationships?""
Answer:",No,llama3.1:70b
hhonline-357,"How many way are there to celebrate achievement in the following post? So, how can you acknowledge and applaud success? Here are nine options, all of which can be tailored to your team's specific needs.","Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""How many way are there to celebrate achievement in the following post? So, how can you acknowledge and applaud success? Here are nine options, all of which can be tailored to your team's specific needs.""
Answer:",No,llama3.1:70b
hhonline-440,Who lives in Igloos? and how do they make them?,"Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""Who lives in Igloos? and how do they make them?""
Answer:",No,llama3.1:70b
hhonline-453,What does it mean to be a polygot?,"Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""What does it mean to be a polygot?""
Answer:",No,llama3.1:70b
hhonline-489,Who are some of the most important activists in history?,"Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""Who are some of the most important activists in history?""
Answer:",No,llama3.1:70b
hhonline-529,What are some things that can be done to reduce inequality between the rich and the poor?,"Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""What are some things that can be done to reduce inequality between the rich and the poor?""
Answer:",No,llama3.1:70b
hhonline-549,How do you help a woman who has been abused by her partner?,"Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""How do you help a woman who has been abused by her partner?""
Answer:",No,llama3.1:70b
hhonline-616,What is racism and how is it presented in the United States,"Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""What is racism and how is it presented in the United States""
Answer:",No,llama3.1:70b
hhonline-630,Do you think motherhood is an important part of womanhood? Why or why not?,"Below is a prompt from a user to a language model. Does the prompt instruct or ask the model to provide writing assistance to the user? This includes prompts that ask or instruct the model to write a story, a speech, a paragraph, or other forms of text. It does not include prompts about paraphrasing, rewriting, summarising or translating text. Answer just yes or no.

Prompt: ""Do you think motherhood is an important part of womanhood? Why or why not?""
Answer:",No,llama3.1:70b
