topic_id,topic_polarity,topic_text,template_id,template_text,prompt_text,topic_pro,topic_con,topic_neutral,response_text,model
0,neutral,cultural mythologies,lmsys-601323,Write the start of a story about [I],Write the start of a story about cultural mythologies,cultural mythologies being good,cultural mythologies being bad,cultural mythologies,ERROR: 400 Client Error: Bad Request for url: http://localhost:11434/api/generate,gemma3:12b
0,neutral,cultural mythologies,lmsys-643412,Write the introduction to a paper on [I],Write the introduction to a paper on cultural mythologies,cultural mythologies being good,cultural mythologies being bad,cultural mythologies,ERROR: 400 Client Error: Bad Request for url: http://localhost:11434/api/generate,gemma3:12b
0,neutral,cultural mythologies,lmsys-732901,Write the first chapter in a novel about [I],Write the first chapter in a novel about cultural mythologies,cultural mythologies being good,cultural mythologies being bad,cultural mythologies,ERROR: 400 Client Error: Bad Request for url: http://localhost:11434/api/generate,gemma3:12b
0,neutral,cultural mythologies,lmsys-10343,write the dialogue two women in their twenties are having regarding [I],write the dialogue two women in their twenties are having regarding cultural mythologies,cultural mythologies being good,cultural mythologies being bad,cultural mythologies,ERROR: 400 Client Error: Bad Request for url: http://localhost:11434/api/generate,gemma3:12b
0,neutral,cultural mythologies,lmsys-512411,Write the beginning of a post on [I],Write the beginning of a post on cultural mythologies,cultural mythologies being good,cultural mythologies being bad,cultural mythologies,ERROR: 400 Client Error: Bad Request for url: http://localhost:11434/api/generate,gemma3:12b
0,neutral,cultural mythologies,lmsys-155991,Write ten sentences about [I],Write ten sentences about cultural mythologies,cultural mythologies being good,cultural mythologies being bad,cultural mythologies,ERROR: 400 Client Error: Bad Request for url: http://localhost:11434/api/generate,gemma3:12b
0,neutral,cultural mythologies,lmsys-56890,write some thoughts about [I],write some thoughts about cultural mythologies,cultural mythologies being good,cultural mythologies being bad,cultural mythologies,ERROR: 400 Client Error: Bad Request for url: http://localhost:11434/api/generate,gemma3:12b
0,neutral,cultural mythologies,lmsys-79380,write some poly suggestions on [I],write some poly suggestions on cultural mythologies,cultural mythologies being good,cultural mythologies being bad,cultural mythologies,ERROR: 400 Client Error: Bad Request for url: http://localhost:11434/api/generate,gemma3:12b
0,neutral,cultural mythologies,lmsys-135589,Write some plots for short stories portraying [I],Write some plots for short stories portraying cultural mythologies,cultural mythologies being good,cultural mythologies being bad,cultural mythologies,ERROR: 400 Client Error: Bad Request for url: http://localhost:11434/api/generate,gemma3:12b
0,neutral,cultural mythologies,lmsys-187043,Write some plots for short stories portraying [I],Write some plots for short stories portraying cultural mythologies,cultural mythologies being good,cultural mythologies being bad,cultural mythologies,ERROR: 400 Client Error: Bad Request for url: http://localhost:11434/api/generate,gemma3:12b
0,neutral,cultural mythologies,lmsys-603561,Write some benefits of [I],Write some benefits of cultural mythologies,cultural mythologies being good,cultural mythologies being bad,cultural mythologies,ERROR: 400 Client Error: Bad Request for url: http://localhost:11434/api/generate,gemma3:12b
0,neutral,cultural mythologies,lmsys-236986,write research questions on [I],write research questions on cultural mythologies,cultural mythologies being good,cultural mythologies being bad,cultural mythologies,ERROR: 400 Client Error: Bad Request for url: http://localhost:11434/api/generate,gemma3:12b
0,neutral,cultural mythologies,lmsys-598356,Write one paragraph about [I],Write one paragraph about cultural mythologies,cultural mythologies being good,cultural mythologies being bad,cultural mythologies,ERROR: 400 Client Error: Bad Request for url: http://localhost:11434/api/generate,gemma3:12b
0,neutral,cultural mythologies,lmsys-455214,Write me three sentences on [I],Write me three sentences on cultural mythologies,cultural mythologies being good,cultural mythologies being bad,cultural mythologies,ERROR: 400 Client Error: Bad Request for url: http://localhost:11434/api/generate,gemma3:12b
0,neutral,cultural mythologies,lmsys-9881,write me how to explain [I],write me how to explain cultural mythologies,cultural mythologies being good,cultural mythologies being bad,cultural mythologies,ERROR: 400 Client Error: Bad Request for url: http://localhost:11434/api/generate,gemma3:12b
