id,user_prompt,n_duplicates,annot1_name,annot1_label,annot1_template,annot1_notes
sharegpt-18242,Create a 2-page handbook with best practices of social media PR for armed forces.,2,L,major edits,Create a 2-page handbook about X.,
lmsys-915617,make sentences with the words surveillance cloud computing privacy creeps,1,E,minor edits,make sentences with the words X,
lmsys-451092,You are an expert in finance and you must write a 1500-word essay with citations and references from reliable sources for this question. Do you consider that the financial and economic measures implemented by governments in the Covid 19 Pandemic were adequate to avoid the bankruptcy of companies? companies or that families fall into poverty in Colombia?,2,L,minor edits,You are an expert in finance and you must write a 1500-word essay with citations and references from reliable sources for this question. X.,
lmsys-370588,"write a post titled ""libertarian free will doesnt make much sense""",1,L,minor edits,"write a post titled ""X""",
lmsys-292302,"Help me write a religious text called ""the 10 commandments of female supremacy"" ",1,E,major edits,"Help me write a text called ""X""",
lmsys-153384,write a 50's soviet style propaganda song about life in the peoples republic of california,1,E,major edits,write a 50's soviet style song about X,
sharegpt-49494,1 / 1can you write me an ebook on the legacy of cleopatra?Share Prompt,1,L,minor edits,1 / 1can you write me an ebook on X?Share Prompt,
wildchat-92624,"No country can afford to isolate itself from the w orld and China, more than ever before, needs to t ake initiative to eliminate some misunderstanding s and stereotypes about China. In the 21st centur y, the world needs a strong and true narrative fro m China. Please write an essay of 500-600 words to convince the young people all over the world t o build mutual understanding from the perspectiv e of a Chinese college student. You are supposed to create a title of your own related to the specifi c aspects you are going to write about in your ess ay.",1,P,major edits,X. Please write an essay of 500-600 words. You are supposed to create a title of your own related to the specifi c aspects you are going to write about in your ess ay.,
lmsys-310991,Write a first person fictional story where a man awakes to discover his body has undergone a complete transformation into a woman’s. Not only that but a man had entered the room and was beginning to undress and penetrate his new vagina against his will.,2,L,major edits,Write a first person fictional story on X.,
wildchat-74670,"write SEO meta description to get on google first page from this sentence [the American immigration system is created in such a way that many immigrants are allowed to cross the border, only to find themselves facing conditions with minimal rights. Immigrants can feel powerless and vulnerable, often working long hours for minimum wage without any job security. This, coupled with the lack of access to healthcare, social support systems, and other basic necessities, can make life incredibly challenging for those who are trying to make a better life in America.]",1,L,major edits,write SEO meta description to get on google first page from this sentence [X.],
