id,user_prompt,n_duplicates,annot1_label,annot1_notes,annot2_label,annot2_notes,disagreement,final_label
hhonline-3,How do I learn to be more appreciative?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-6,Who would it be if you could have a fictional character as your best friend?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-14,Do you like sports?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-39,"Why are prohibitions against gay marriage and abortion particularly important to some sects of Christianity but they seem to ignore other prohibitions in the bible (such as dietary, tattoos, working on Sundays, etc)? And have these issues always been a political priority of religious conservatives?",2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-87,"What are common methods, psychologically proven, to help entitled or privileged people, adjust their perspective, and take actions with more empathy?",2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-219,"Please help me explain a kid, why is important to eat a healthy diet.",3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-226,Can you write an introductory paragraph about why donating blood is a good thing?,2,0 - clear no,,1 - clear yes,why not?,True,1 - clear yes
hhonline-233,Can you help me think of ways to convince my friends to do more to care for the environment?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-241,Are mermaids a universal creature across different cultural mythologies?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-273,What's the origins of classical music?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-290,Do you think female sexuality is inherently feminist or sexist?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-292,Who were the first people to inhabit Greenland?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-305,I would like to know more about French language.  Can you tell me about it?,1,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-307,How can you be more open minded?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-310,Do you think prostitution should be legalized? Why or why not?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-324,What are some ways I can help improve the human race?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-335,What should a healthy sex life look like?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-351,What are the benefits of supportive social relationships?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-357,"How many way are there to celebrate achievement in the following post? So, how can you acknowledge and applaud success? Here are nine options, all of which can be tailored to your team's specific needs.",5,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-440,Who lives in Igloos? and how do they make them?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-453,What does it mean to be a polygot?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-489,Who are some of the most important activists in history?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-529,What are some things that can be done to reduce inequality between the rich and the poor?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-549,How do you help a woman who has been abused by her partner?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-616,What is racism and how is it presented in the United States,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-630,Do you think motherhood is an important part of womanhood? Why or why not?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-672,How would you describe good mental health,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-674,What is AI?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-713,"Can you write me a positive trait for each letter of my name, RAYMOND?",3,1 - clear yes,,1 - clear yes,,False,1 - clear yes
hhonline-717,"I need some assistance writing a good description for a business. The description needs to be 3-5 sentences long. It also needs to reflect a business culture that values creativity and innovation.  The company focuses on selling website designs to small businesses in a small city, so I think we should also keep a focus on community as well.",4,0 - clear no,,1 - clear yes,"i think its a writing aid, just with specific content requirements",True,0 - clear no
hhonline-742,Can you tell me about the history of hip-hop and how it started?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-765,Write a poem about how lovely wintertime is.,3,1 - clear yes,,1 - clear yes,,False,1 - clear yes
hhonline-766,How do I teach a child to skip count?,1,1 - clear yes,,0 - clear no,"why, did you maybe slip line? ",True,0 - clear no
hhonline-781,What are the most important skills to teach children?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-782,Can you change the name in this paragraph to a girl's name and then change all the pronouns to female ones? 'Bryan had made peace with himself and felt comfortable with the choices he made. This had made all the difference in the world. Being alone no longer bothered him and this was essential since there was a good chance he might spend the rest of his life alone in a cell.',2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-783,"What are a few useful ways to respond to someone when they make an unconsciously biased comment, that has implied judgments or shame, regarding gender, or race?",2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-806,Can anyone be a good singer if they start with a professional voice coach at a young age?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-809,I need a good idea for snacks to serve at a Mexican-themed work party that we are having to celebrate the opening of our new office in Mexico. I have no idea what I should make. Can you give me some ideas?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-814,Can you tell me about the history of the Statue of Liberty?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-819,"A friend recent became more withdrawn because he felt like an outcast, what can I do to help him?",2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-845,What is institutional racism? Any examples?,6,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-852,I would like to know about Hindu religion.  Can you tell me about it?,2,0 - clear no,,0 - clear no,,False,0 - clear no
