id,user_prompt
hhonline-219,"Please help me explain a kid, why is important to eat a healthy diet."
hhonline-226,Can you write an introductory paragraph about why donating blood is a good thing?
hhonline-713,"Can you write me a positive trait for each letter of my name, RAYMOND?"
hhonline-717,"I need some assistance writing a good description for a business. The description needs to be 3-5 sentences long. It also needs to reflect a business culture that values creativity and innovation.  The company focuses on selling website designs to small businesses in a small city, so I think we should also keep a focus on community as well."
hhonline-765,Write a poem about how lovely wintertime is.
hhonline-922,Can you write a a paragraph about the importance of special education services?
hhonline-1042,"I need to write a recommendation letter for a colleague. We were lecturers together at the University of Arizona. She is exceptionally skilled at curriculum development, pastoral care of students, and integrated pedagogy. Could you help me draft something?"
hhonline-1127,Make an argument for why we should preserve the rainforest.
hhonline-1376,Can you provide a paragraph listing some of the challenges interracial families experience?
hhonline-1743,Can you write a paragraph advocating for mandatory children's planning education in public schools?
hhonline-1917,I need to craft a lesson plan that teaches first-grade kids about rhyming words. Can you help me with this?
hhonline-2150,"Can you write an introductory paragraph on why it is important to teach children basic abilities like chores, cooking and budgeting money?"
hhonline-2211,Write a short narrative about a pet dog being adopted by a family.
hhonline-2244,"I want to write a card to my girlfriend for Valentine's Day. Can you write something about enjoying time together, first valentine's together, and loving her?"
hhonline-2464,Can you write an introductory paragraph advocating for placing persons experiencing homelessness into foreclosed homes?
hhonline-3303,Can you give me an introductory paragraph on why nationalism can be dangerous?
hhonline-3340,Can you provide me with a paragraph advocating for free dental and vision care for all Americans?
hhonline-3594,"Can you write an introductory paragraph for why parents should let children speak freely (including swearing/cursing), without censorship, to form their sense of self and individuality?"
hhonline-3598,"I need some assistance writing a good description for an event flyer. The description needs to be 3-5 sentences long. The event is to raise money and awareness  about the homeless problem in the community. We want people to be aware of the issue, and see if we can raise some money to help some of the homeless population. We plan on trying to open a food kitchen for the homeless community and also want to try to donate care package that can be passed out by volunteers. Can you give a descriptive summary?"
hhonline-3689,"I'm Jewish and my boss was telling a story about buying a ski-doo that ended with, ""and then, we jewed him down and got a really good price for it."" I was really offended by this – I though she was better than that. Can you help me craft an email to HR explaining the situation?"
hhonline-3946,Can you give me a long explanation for why public school teachers are so important?
hhonline-3992,Can you help me write a paper about Jackie Robinson?
hhonline-5134,Can you write a paragraph advocating for adoption to be a free process?
hhonline-5352,Can you write a short story about a little boy that goes to the pet store to buy a goldfish with his father please? Make the boy six years old and named Anthony.
hhonline-5372,Compose your own poem about summertime.
hhonline-5376,"Can you write a bedtime story for a 6 year old girl that includes ponies, rainbows, candy, and fairies?"
hhonline-5492,Can you write an introductory paragraph on why children should learn the art of public speaking from a young age?
hhonline-5960,Can you provide a paragraph advocating for teaching equity principles in secondary education?
hhonline-6376,Can you provide a paragraph advocating for free community college for all?
hhonline-6380,Make an argument for Twitter healing the rifts in society.
hhonline-6617,Let's write a story together! Write me a paragraph about a boy that is going out to fly a kite!
hhonline-7056,Can you provide me with a paragraph advocating for free universal preschool?
hhonline-8034,Can you write a paragraph advocating for doing away with mandatory minimum sentencing practices?
hhonline-8111,Can you write me a short story about a dog and a cat being friendly with each other?
hhonline-9595,Can you write me a story about a family having fun at the beach?
