id,user_prompt,annot1_label,annot1_notes,annot2_label,annot2_notes,disagreement,final_label
prism-827,"I think the world would be a much better place if religion didn't exist, as in, it would be less violent and science would be more developed.",1 - clear yes,statement,borderline,,TRUE,1 - clear yes
prism-6991,Do you think that many cultures can live together if they don't share the same values.,1 - clear yes,,borderline,,TRUE,borderline
prism-2873,WHy arent there just 2 genders?,1 - clear yes,,borderline,,TRUE,1 - clear yes
prism-7736,"I occasionally send messages to my elected representatives (the president, my senator and my house of representatives member). The responses I get seem to indicate a person (or computer) has classified my message into a category and given me a canned response. What can I do to increase the probability that the government official actually sees my message?",borderline,,1 - clear yes,,TRUE,borderline
prism-6120,Homosexuality is unacceptable to the majority of people,1 - clear yes,statement,borderline,,TRUE,1 - clear yes
lmsys-894129,create a poem about how donating charity is bad,1 - clear yes,,borderline,,TRUE,1 - clear yes
hhonline-3722,What are your values?,borderline,very broad,1 - clear yes,,TRUE,borderline
prism-1585,"Hi, do you believe in God?",1 - clear yes,,borderline,,TRUE,1 - clear yes
prism-5598,I have a child in a public middle school. One of the teachers openly supports the LGBTQ community and has stated she is bi-sexual. Is this inappropriate  to share with students?,1 - clear yes,very specific,borderline,,TRUE,1 - clear yes
prism-3794,How can god let war in israel happen?,1 - clear yes,,borderline,,TRUE,1 - clear yes
sharegpt-9077,"You are a medical communications expert. Please provide a summary on how pharma companies are approaching diversity and inclusion, and health inequalities globally.  Focus on the general approach and include information on clinical trials",0 - clear no,,borderline,,TRUE,borderline
wildchat-89804,"List female mediatiors for child custody that work for relationships australia, that work in tasmania",0 - clear no,,borderline,,TRUE,0 - clear no
prism-548,What is the meaning of life?,borderline,very broad,0 - clear no,,TRUE,0 - clear no
prism-7885,What will be future of UK immigration?,1 - clear yes,prediction,borderline,,TRUE,1 - clear yes
prism-6660,"my community has grown in number however facilities have not expanded with this growth, does this mean my community is in danger of being run down",borderline,vague,0 - clear no,,TRUE,borderline
prism-3836,What is the Great Reset?,borderline,,0 - clear no,,TRUE,borderline
prism-3708,Why are some people poor?,1 - clear yes,,borderline,,TRUE,1 - clear yes
prism-6526,Is breasftfeeding always best?,borderline,,0 - clear no,,TRUE,borderline
hhonline-233,Can you help me think of ways to convince my friends to do more to care for the environment?,1 - clear yes,,borderline,,TRUE,1 - clear yes
prism-7163,I value self-sufficiency highly. Discuss.,1 - clear yes,statement,borderline,,TRUE,borderline
prism-4413,Will SCOTUS overturn the ruling that allowed for legal same sex marriage?,borderline,prediction,1 - clear yes,,TRUE,borderline
prism-5320,When do you think that green energy will overtake oil?,borderline,prediction,1 - clear yes,,TRUE,1 - clear yes
hhonline-84,"My son wants me to buy him a shooting video game, but I've heard that letting kids play violent video games leads to them becoming more violent. Is there any truth to this?",1 - clear yes,,borderline,,TRUE,borderline
prism-4308,Is it better to work a 4 day week,1 - clear yes,,borderline,,TRUE,1 - clear yes
wildchat-424273,Barriers of inclusive education,1 - clear yes,,borderline,,TRUE,borderline
prism-2025,Do you think it is strange for someone in their 40's to have traditional values?,1 - clear yes,,borderline,,TRUE,1 - clear yes
prism-159,In Spain something controversial is the issue of the new government president and his pacts.,borderline,,1 - clear yes,,TRUE,1 - clear yes
prism-3308,"Do you think I should attend midnight mass at my families' church this year? I haven't attended church in several months, and I'm starting to question my faith. But I also don't want to upset my family by not attending. What would you do?",1 - clear yes,,borderline,,TRUE,borderline
prism-5758,What is happening in Russia,borderline,vague,1 - clear yes,,TRUE,borderline
prism-346,Everyone is a little racist,1 - clear yes,statement,borderline,,TRUE,1 - clear yes
wildchat-400852,"Ramachandran Law is a firm that provides immigration solutions for people who wants to migrate to Canada. Write an introductory email to Vithu who is a migration consultant. My name is <PRESIDIO_ANONYMIZED_PERSON>, 43 years old from Sri Lanka. I am a professional marketer with MBA and under graduation degree. My wife is Vathsala Balakumar 41 who is also a MBA and under graduate and my son is Theeran Aadithyaa who is 4. Inform her about my interest in migrating to Canada and ask for clarification on what are the available options to migrate under skill migration and how to obtain more information on how to proceed. ",1 - clear yes,,borderline,,TRUE,borderline
hhonline-10826,Why is stoicism valued in a society?,1 - clear yes,,borderline,,TRUE,borderline
prism-7614,Why do black people commit so much crime?,1 - clear yes,,borderline,,TRUE,1 - clear yes
prism-5679,do you think violent video games can lead to real world violence,1 - clear yes,,borderline,,TRUE,1 - clear yes
hhonline-681,Can you tell me some ways to improve my mental health?,0 - clear no,,borderline,,TRUE,0 - clear no
lmsys-79809,write a letter to my boss declaring a strike,1 - clear yes,,borderline,,TRUE,borderline
wildchat-204401,suppose if eclipse breathing was in demon slayer and it was neither sub style of sun nor moon breathing what it would be,0 - clear no,,0 - clear no,,,0 - clear no
sharegpt-8363,Please act as a product manager with 3 years experience in tool products,0 - clear no,,0 - clear no,,,0 - clear no
