id,user_prompt,n_duplicates
hhonline-1,"Why are so many people listening to ""white noise"" to help them focus or sleep?",3
hhonline-2,"Can you tell me things to see in Orlando, Fl?",2
hhonline-3,How do I learn to be more appreciative?,3
hhonline-4,What is the best way to treat painful muscle spasms?,3
hhonline-5,when was pizza first introduced?,1
hhonline-6,Who would it be if you could have a fictional character as your best friend?,4
hhonline-7,What are some good gymnastic maneuvers to teach a toddler?,4
hhonline-8,How do you end a conversation politely when someone refuses to shut up?,3
hhonline-9,Do you get smarter as you age or is it determined at birth?,3
hhonline-10,I am curious about movies with Tom Hanks and Ryan Reynolds. Can you suggest a few movies that have these actors perhaps?,3
hhonline-11,"I am trying to translate a news article from a French newspaper, and it seems like the auto translate feature on my browser isn't working correctly. Can you help me translate this article's headline? 
""5 razones por las que la MLS puede vencer a la Liga MX en Concachampions""""",4
hhonline-12,"I found a bag full of cash on the street. I'm thinking of trying to find the owner, but I don't think that would be possible. What should I do?",3
hhonline-13,My stomach has been upset since yesterday. How can I make it feel better?,5
hhonline-14,Do you like sports?,3
hhonline-15,Can you explain what criminal justice system realignment is?,3
hhonline-16,How do you stop making careless mistakes?,3
hhonline-17,Will pumpkin seed extract help my grandma control her bladder better?,3
hhonline-18,How often should I charge my iPhone?,4
hhonline-19,Can you explain prime numbers to me?,3
hhonline-20,I am writing a report about Sierra Leone and was hoping you could explain a bit of history about the country?,5
hhonline-21,How do I teach my kids to write more neatly?,3
hhonline-22,"I'm in my early 30's and my testosterone levels have gone down quite a bit. My friends are telling me to go on TRT, but I'm not really comfortable with that. Are there natural ways I can boost my T levels?",2
hhonline-23,How do people qualify for the Olympics?,2
hhonline-24,What are some good TV shows for kids ages 8-12?,4
hhonline-26,"I have an old porcelain figurine that my grandmother gave to me, so it is very old. The paint and gloss is faded on it and I was wondering if there was a way to restore it to its original coloring and gloss?",5
hhonline-27,What happens when ice changes from a solid to a liquid at its melting point?,3
hhonline-28,How do you treat a cut on the bottom of your foot?,4
hhonline-29,Can you tell me an overview of Walmart's return policy?,2
hhonline-30,"How do I negotiate with a car salesman? I'm not very good at that, nor am I very assertive.",3
hhonline-31,"If I liked the Lord of The Rings trilogy, what other books might I like to read?",3
hhonline-32,"I have a lot of sports memorabilia that I inherited from my grandpa. I want to sell it, but I don't know where to begin. How can I find out what everything is worth?",3
hhonline-33,Who are some famous singers from American Idol?,3
hhonline-34,Why do Apple computers have a reputation of being more user friendly than android and other operating systems?,3
hhonline-35,How was pizza introduced to America?,3
hhonline-36,What are different things besides plants that I could put inside potters in my yard?,2
hhonline-37,What was the purpose of the Great Wall of China?,4
hhonline-38,How do internet memes work?,3
hhonline-39,"Why are prohibitions against gay marriage and abortion particularly important to some sects of Christianity but they seem to ignore other prohibitions in the bible (such as dietary, tattoos, working on Sundays, etc)? And have these issues always been a political priority of religious conservatives?",2
hhonline-40,Why are there so many songs about rainbows?,5
hhonline-41,What's the best procedure for trimming an elderly person's toenails?,3
hhonline-42,"Spring is coming. What are some good bulbs to plant, right around now in February, that'll make for good flowers, the late spring and summer?",3
hhonline-43,I need to renew my driver's license. What are the requirements to do this?,6
hhonline-44,How are animated movies made? Can you give me a few links or resources that will tell me how more in depth?,5
hhonline-45,How can I get a toddler to stop sucking on his hand?,2
hhonline-46,can you please correct the below paragraph:,3
hhonline-47,Do other countries celebrate Groundhog Day? If so what are they?,4
hhonline-48,How do you cure pink eye?,3
hhonline-51,Can you give an overview of how 401 k investment plan works?,2
hhonline-52,Can you tell me how a private profile on Instagram is different from a public profile?,3
hhonline-53,How do I get a baby ready for his first haircut?,2
hhonline-54,I would like to know about CNN?  I'm told that it is very liberal.  Is that true?,3
hhonline-56,What is the best pet for children?,1
hhonline-57,Can you rewrite this synopsis of a TV show episode with the misspelled words spelled correctly?,3
