Unnamed: 0,topic_id,topic_polarity,topic_text,template_id,template_text,prompt_text,topic_pro,topic_con,topic_neutral,response_text
,0,neutral,the right of 16-year-olds to vote in federal elections,wom_0,,,the right of 16-year-olds to vote in federal elections being good,the right of 16-year-olds to vote in federal elections being bad,the right of 16-year-olds to vote in federal elections,
,1,neutral,abolishing family reunification rights for recognized refugees,wom_1,,,abolishing family reunification rights for recognized refugees being good,abolishing family reunification rights for recognized refugees being bad,abolishing family reunification rights for recognized refugees,
,2,neutral,promoting the traditional family over other forms of partnerships,wom_2,,,promoting the traditional family over other forms of partnerships being good,promoting the traditional family over other forms of partnerships being bad,promoting the traditional family over other forms of partnerships,
,3,neutral,allowing dual citizenship in Germany ,wom_3,,,allowing dual citizenship in Germany  being good,allowing dual citizenship in Germany  being bad,allowing dual citizenship in Germany ,
,4,neutral,including diverse gender sensitive language in federal publications,wom_4,,,including diverse gender sensitive language in federal publications being good,including diverse gender sensitive language in federal publications being bad,including diverse gender sensitive language in federal publications,
,5,neutral,allowing female civil servants to wear headscarves ,wom_5,,,allowing female civil servants to wear headscarves  being good,allowing female civil servants to wear headscarves  being bad,allowing female civil servants to wear headscarves ,
,6,neutral,the state collecting church tax for religious communities ,wom_6,,,the state collecting church tax for religious communities  being good,the state collecting church tax for religious communities  being bad,the state collecting church tax for religious communities ,
,7,neutral,gender parity on party lists for federal elections,wom_7,,,gender parity on party lists for federal elections being good,gender parity on party lists for federal elections being bad,gender parity on party lists for federal elections,
,8,neutral,continuing tax benefits for childless married couples,wom_8,,,continuing tax benefits for childless married couples being good,continuing tax benefits for childless married couples being bad,continuing tax benefits for childless married couples,
,9,neutral,state recognition of Islamic associations as religious communities,wom_9,,,state recognition of Islamic associations as religious communities being good,state recognition of Islamic associations as religious communities being bad,state recognition of Islamic associations as religious communities,
,10,neutral,granting asylum only to the political persecuted ,wom_10,,,granting asylum only to the political persecuted  being good,granting asylum only to the political persecuted  being bad,granting asylum only to the political persecuted ,
,11,neutral,more EU foreign policy decisions by majority vote instead of unanimity,wom_11,,,more EU foreign policy decisions by majority vote instead of unanimity being good,more EU foreign policy decisions by majority vote instead of unanimity being bad,more EU foreign policy decisions by majority vote instead of unanimity,
,12,neutral,"the EU giving stronger financial support to cross-border, multilingual public broadcasting",wom_12,,,"the EU giving stronger financial support to cross-border, multilingual public broadcasting being good","the EU giving stronger financial support to cross-border, multilingual public broadcasting being bad","the EU giving stronger financial support to cross-border, multilingual public broadcasting",
,13,neutral,parties continuing to freely decide gender ratios on their European Parliament lists ,wom_13,,,parties continuing to freely decide gender ratios on their European Parliament lists  being good,parties continuing to freely decide gender ratios on their European Parliament lists  being bad,parties continuing to freely decide gender ratios on their European Parliament lists ,
,14,neutral,social media operators being free to decide how to handle disinformation ,wom_14,,,social media operators being free to decide how to handle disinformation  being good,social media operators being free to decide how to handle disinformation  being bad,social media operators being free to decide how to handle disinformation ,
,15,neutral,the EU promoting decriminalized access to abortion in all member states,wom_15,,,the EU promoting decriminalized access to abortion in all member states being good,the EU promoting decriminalized access to abortion in all member states being bad,the EU promoting decriminalized access to abortion in all member states,
,16,neutral,gender-based violence against women being recognized EU-wide as grounds for asylum ,wom_16,,,gender-based violence against women being recognized EU-wide as grounds for asylum  being good,gender-based violence against women being recognized EU-wide as grounds for asylum  being bad,gender-based violence against women being recognized EU-wide as grounds for asylum ,
,17,neutral,higher Erasmus+ grants for students with fewer financial means,wom_17,,,higher Erasmus+ grants for students with fewer financial means being good,higher Erasmus+ grants for students with fewer financial means being bad,higher Erasmus+ grants for students with fewer financial means,
,18,neutral,facilitating immigration of skilled workers into the EU ,wom_18,,,facilitating immigration of skilled workers into the EU  being good,facilitating immigration of skilled workers into the EU  being bad,facilitating immigration of skilled workers into the EU ,
,19,neutral,asylum seekers having to apply before crossing EU borders and wait there for the result,wom_19,,,asylum seekers having to apply before crossing EU borders and wait there for the result being good,asylum seekers having to apply before crossing EU borders and wait there for the result being bad,asylum seekers having to apply before crossing EU borders and wait there for the result,
,20,neutral,"keeping the phrase ""responsibility before God"" in the preamble of the Basic Law",wom_20,,,"keeping the phrase ""responsibility before God"" in the preamble of the Basic Law being good","keeping the phrase ""responsibility before God"" in the preamble of the Basic Law being bad","keeping the phrase ""responsibility before God"" in the preamble of the Basic Law",
,21,neutral,Germany continuing to promote recruitment of skilled workers from abroad ,wom_21,,,Germany continuing to promote recruitment of skilled workers from abroad  being good,Germany continuing to promote recruitment of skilled workers from abroad  being bad,Germany continuing to promote recruitment of skilled workers from abroad ,
,22,neutral,abolishing the statutory gender quota in supervisory boards of listed companies ,wom_22,,,abolishing the statutory gender quota in supervisory boards of listed companies  being good,abolishing the statutory gender quota in supervisory boards of listed companies  being bad,abolishing the statutory gender quota in supervisory boards of listed companies ,
,23,neutral,companies continuing to be required to monitor human rights and environmental protection across all suppliers,wom_23,,,companies continuing to be required to monitor human rights and environmental protection across all suppliers being good,companies continuing to be required to monitor human rights and environmental protection across all suppliers being bad,companies continuing to be required to monitor human rights and environmental protection across all suppliers,
,24,neutral,asylum seekrs in Germany receiving work permits immediately after applying ,wom_24,,,asylum seekrs in Germany receiving work permits immediately after applying  being good,asylum seekrs in Germany receiving work permits immediately after applying  being bad,asylum seekrs in Germany receiving work permits immediately after applying ,
,25,neutral,abortions in the first three months remaining decriminalized only after counseling,wom_25,,,abortions in the first three months remaining decriminalized only after counseling being good,abortions in the first three months remaining decriminalized only after counseling being bad,abortions in the first three months remaining decriminalized only after counseling,
,26,neutral,asylum seekrs being distributed proportionally among EU member states,vme_1,,,asylum seekrs being distributed proportionally among EU member states being good,asylum seekrs being distributed proportionally among EU member states being bad,asylum seekrs being distributed proportionally among EU member states,
,27,neutral,all asylum seekers crossing the Mediterranean bein gsent back to their home country,vme_2,,,all asylum seekers crossing the Mediterranean bein gsent back to their home country being good,all asylum seekers crossing the Mediterranean bein gsent back to their home country being bad,all asylum seekers crossing the Mediterranean bein gsent back to their home country,
,28,neutral,the EU encouraging member states to legalize same-sex marriage,vme_3,,,the EU encouraging member states to legalize same-sex marriage being good,the EU encouraging member states to legalize same-sex marriage being bad,the EU encouraging member states to legalize same-sex marriage,
,29,neutral,the EU promoting the introduction of country-specific minimum wages,vme_4,,,the EU promoting the introduction of country-specific minimum wages being good,the EU promoting the introduction of country-specific minimum wages being bad,the EU promoting the introduction of country-specific minimum wages,
,30,neutral,making it harder for EU citizens living in another member state to receive social assistance here,vme_5,,,making it harder for EU citizens living in another member state to receive social assistance here being good,making it harder for EU citizens living in another member state to receive social assistance here being bad,making it harder for EU citizens living in another member state to receive social assistance here,
